Source,Date,Description,Amount
usaa,07/27,Amazon.com*MV29P7DW2 Amzn.com/bill WA,$196.05
usaa,07/28,APPLE.COM/BILL408-974-1010 CA,$16.23
usaa,07/28,AMZN Mktp US*MV1XI09A0 Amzn.com/bill WA,$48.12
usaa,07/29,PAYPAL *BPR INNVTNS EBAY 402-935-7733 CA,"$1,082.49"
usaa,07/29,Amazon Tips*MF97E63L1 Amzn.com/bill WA,$10.00
usaa,07/29,REI.COM800-426-4840 WA,$43.29
usaa,07/29,"LAST WISHES, LLC HOUSTON  TX",$423.59
usaa,07/30,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,08/01,BONES 2 GO INC JERSEY VILLAG TX,$289.03
usaa,08/02,Amazon.com*MF0A98FT2 Amzn.com/bill WA,$133.75
usaa,08/02,AMZN Mktp US*MF2C67G11 Amzn.com/bill WA,$59.53
usaa,08/03,LA FITNESS949-255-7200 CA,$54.10
usaa,08/03,THE HOME DEPOT #6525 HOUSTON  TX,$20.90
usaa,08/03,AMZN Mktp US*MF5QK1NM0 Amzn.com/bill WA,$203.36
usaa,08/03,AMZN Mktp US*MF4GU1LD2 Amzn.com/bill WA,$32.44
usaa,08/04,SKYGEEK.COM888-759-4335 NY,$91.20
usaa,08/04,Amazon.com*MF1KE7J70 Amzn.com/bill WA,$5.89
usaa,08/04,Amazon Tips*MF7CB8AH0 Amzn.com/bill WA,$7.00
usaa,08/05,THE HOME DEPOT #6525 HOUSTON  TX,$44.35
usaa,08/05,SWEETWATER SOUND800-222-4700 IN,$78.61
usaa,08/05,AMZN Mktp US*MF10V0E20 Amzn.com/bill WA,$43.25
usaa,08/06,AMAZON.COM*MF8N480V2 AMZN AMZN.COM/BILL WA,$162.36
usaa,08/06,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,08/08,BANDCAMP OJET415-213-2160 CA,$20.00
usaa,08/11,TACO CABANA 20343 HOUSTON  TX,$28.98
usaa,08/13,CHICK-FIL-A #01337 HOUSTON  TX,$8.11
usaa,08/13,CIRCLE K #2741443 TOMBALL  TX,$56.90
usaa,08/13,PAPPAS BBQ#665 HOUSTON  TX,$38.28
usaa,08/13,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,08/13,Amazon.com*MF9C60K90 Amzn.com/bill WA,$241.78
usaa,08/14,FRATELLI'S RISTORANTE HOUSTON  TX,$78.55
usaa,08/14,BONES 2 GO INC JERSEY VILLAG TX,$289.03
usaa,08/14,SP * GOFIT.NET STORE HTTPSGOFITNET OK,$24.98
usaa,08/15,Amazon Tips*MF3P33I80 Amzn.com/bill WA,$10.00
usaa,08/15,AMZN Mktp US*MF0VQ1Y82 Amzn.com/bill WA,$14.06
usaa,08/20,SQ *CENTRAL CITY CO-OP gosq.com  TX,$90.65
usaa,08/20,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,06/21 06/22,GALVESTON RAILROAD MUSEUM GALVESTON  TX,$16.18
usaa,06/22 06/22,GALVESTON RAILROAD MUS409-765-5700 TX,$15.00
usaa,06/22 06/22,AGU RAMEN WASHINGTON AVE HOUSTON  TX,$7.50
usaa,06/22 06/22,AGU RAMEN WASHINGTON AVE HOUSTON  TX,$60.95
usaa,06/22 06/22,SWIFT MART 2047 WIRT HOUSTON  TX,$27.80
usaa,06/22 06/22,CVS/PHARMACY #06726 HOUSTON  TX,$49.94
usaa,06/21 06/22,FIVE GUYS TX 1224 QSR LEAGUE CITY  TX,$30.59
usaa,06/22 06/22,SQ *MAX REFLECTION877-417-4551 TX,$800.00
usaa,06/21,SQ *TORNADO TACO Houston  TX,$16.40
usaa,06/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,06/23,CVS/PHARMACY #07162 HOUSTON  TX,$7.03
usaa,06/23,LA FINCA- FULSHEAR - KATY  TX,$43.90
usaa,06/23,D & S CRAFTS AND TRANSPO ROSENBERG  TX,$1.00
usaa,06/23,SQ *BLACK HOLE COFFEE HOU Houston  TX,$11.60
usaa,06/25,SWIFT MART 2047 WIRT HOUSTON  TX,$6.71
usaa,06/25,SWIFT MART 2047 WIRT HOUSTON  TX,$27.82
usaa,06/25,TACO CABANA 20141 HOUSTON  TX,$14.04
usaa,06/25,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.50
usaa,06/26,STAR PIZZA - 2 HOUSTON  TX,$43.53
usaa,06/26,BONES 2 GO INC JERSEY VILLAG TX,$193.77
usaa,06/26,AMZN Mktp US*MS82Q5SC0 Amzn.com/bill WA,$132.89
usaa,06/27,DAIRY QUEEN #45085 MANVEL  TX,$8.53
usaa,06/28,SURFSIDE FOOD MART FREEPORT  TX,$10.74
usaa,06/28,AGU RAMEN WASHINGTON AVE HOUSTON  TX,$50.16
usaa,06/28,SWIFT MART 2047 WIRT HOUSTON  TX,$34.19
usaa,06/28,ARBY'S 8385 SPRING  TX,$7.34
usaa,06/28,Amazon Tips*MS6TU29B0 Amzn.com/bill WA,$7.00
usaa,06/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,06/30,MCDONALD'S F20638 HOUSTON  TX,$6.70
usaa,07/01,VCI*VITACOST.COM800-793-2601 FL,$93.39
usaa,07/02,TACO CABANA 20330 HOUSTON  TX,$9.49
usaa,07/02,THE HOME DEPOT #6985 HOUSTON  TX,$17.02
usaa,07/02,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.50
usaa,07/02,SQ *BLACK HOLE COFFEE HOU Houston  TX,$18.99
usaa,07/02,SQ *CANDIDO SERRANO Houston  TX,$9.75
usaa,07/03,CHUY'S HOUSTON  TX,$86.85
usaa,07/03,LA FITNESS949-255-7200 CA,$54.10
usaa,07/03,AMZN Mktp US*MJ7M00ZM2 Amzn.com/bill WA,$120.95
usaa,07/04,PETCO 46963504690 HOUSTON  TX,$69.26
usaa,07/05,"TST* RUDY S ""COUNTRY STOR HOUSTON  TX",$8.30
usaa,07/05,TRACTOR SUPPLY #310 RICHMOND  TX,$303.09
usaa,07/05,ASIM PROPERTIES ROSENBERG  TX,$35.02
usaa,07/05,Amazon Tips*MJ3HO33L2 Amzn.com/bill WA,$10.00
usaa,07/06,AMZN Mktp US*MJ1T35551 Amzn.com/bill WA,$47.61
usaa,07/07,BONES 2 GO INC JERSEY VILLAG TX,$54.71
usaa,07/07,SPARKLES SPRING BRANCH HOUSTON  TX,$37.00
usaa,07/08,TST* GOODE COMPANY BBQ - HOUSTON  TX,$43.70
usaa,07/08,AMAZON.COM*MJ6RR7VA0 AMZN AMZN.COM/BILL WA,$8.22
usaa,07/08,AMZN Mktp US*MJ4M97SB1 Amzn.com/bill WA,$17.36
usaa,07/08,AMZN Mktp US*MJ9AN7PZ2 Amzn.com/bill WA,$32.46
usaa,07/09,CVS/PHARMACY #06726 HOUSTON  TX,$68.75
usaa,07/09,KFC C521024 HOUSTON  TX,$7.00
usaa,07/09,AMZN Mktp US*MJ59W7B60 Amzn.com/bill WA,$212.91
usaa,07/09,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.50
usaa,07/10,THE HOME DEPOT #6985 HOUSTON  TX,$212.12
usaa,07/10,THE HOME DEPOT #6985 HOUSTON  TX,$58.42
usaa,07/10,SQ *THD ELECTRONICS / AND Snohomish  WA,$600.00
usaa,07/11,SHELL OIL 57543438501 KATY  TX,$4.49
usaa,07/11,Amazon Tips*MJ4LU0S10 Amzn.com/bill WA,$10.00
usaa,07/11,AN FORD KATY KATY  TX,"$2,879.95"
usaa,07/11,WHATABURGER 605Q26 HOUSTON  TX,$8.32
usaa,07/12,CVS/PHARMACY #06726 HOUSTON  TX,$7.57
usaa,07/12,EXXONMOBIL47880307 MONTGOMERY  TX,$8.38
usaa,07/12,CHUY'S HOUSTON  TX,$65.13
usaa,07/12,RUDY'S #212 GAS HOUSTON  TX,$30.01
usaa,07/13,"TST* RUDY S ""COUNTRY STOR HOUSTON  TX",$8.74
usaa,07/13,AMZN Mktp US*MJ6C056S2 Amzn.com/bill WA,$20.56
usaa,07/13,Amazon.com*MV9X21FL1 Amzn.com/bill WA,$11.90
usaa,07/13,ALUMINESS PRODUCTS INC619-4499930  CA,"$1,700.00"
usaa,07/14,FORDPARTS.COM713-932-8000 TX,$29.44
usaa,07/15,BONES 2 GO INC JERSEY VILLAG TX,$120.82
usaa,07/15,BONES 2 GO INC JERSEY VILLAG TX,$8.00
usaa,07/15,KATZ COFFEE7138643338TX,$23.90
usaa,07/16,SQ *CENTRAL CITY CO-OP gosq.com  TX,$86.50
usaa,07/17,AMZN Mktp US*MV06M1PT1 Amzn.com/bill WA,$224.19
usaa,07/17,SQ *BLACK HOLE COFFEE HOU Houston  TX,$17.96
usaa,07/17,KATZ COFFEE7138643338TX,$70.00
usaa,07/18,SWIFT MART 2047 WIRT HOUSTON  TX $,$19.74
usaa,07/18,EXXONMOBIL47880307 MONTGOMERY  TX $,$16.11
usaa,07/18,BUC-EE'S #18 WALLER  TX $,$14.32
usaa,07/18,BUC-EE'S #18 WALLER  TX $,$1.99
usaa,07/19,TST* RUDY S COUNTRY STORE HOUSTON  TX $,$14.56
usaa,07/19,KROGER #346 HOUSTON  TX $,$10.00
usaa,07/19,Amazon Tips*MV8O27L52 Amzn.com/bill WA $,$10.00
usaa,07/20,STICKERSTOP EXPRESS HOUSTON  TX $,$25.50
usaa,07/20,SWIFT MART 2047 WIRT HOUSTON  TX $,$30.45
usaa,07/20,ROCKIN ROBIN GUITARS HOUSTON  TX $,$15.13
usaa,07/20,ALPHA LAMDA GROUP LLC800-9290958  CA $,$40.79
usaa,07/20,WHATABURGER 670Q26 HOUSTON  TX $,$8.70
usaa,07/20,TX.GOV*SERVICEFEE-DIR EGOV.COM  TX $,$2.00
usaa,07/20,HARRIS VEHREG EGOV.COM  TX $,$78.25
usaa,07/21,APPLE.COM/BILL866-712-7753 CA $,$12.98
usaa,07/21,"LAST WISHES, LLC HOUSTON  TX $",$33.30
usaa,05/23 05/23,APPLE.COM/BILL866-712-7753 CA,$2.15
usaa,05/23 05/23,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,05/23 05/23,APPLE.COM/BILL866-712-7753 CA,$30.30
usaa,05/28 05/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,05/28 05/28,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,05/29 05/29,WASHINGTON HEIGHTS VET HOUSTON  TX,$38.00
usaa,05/30 05/30,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,06/03,LA FITNESS949-255-7200 CA,$54.10
usaa,06/03,USA*CANTEEN VENDING HOUSTON  TX,$3.30
usaa,06/03,USA*CANTEEN VENDING HOUSTON  TX,$1.60
usaa,06/03,SWIFT FOOD MART HOUSTON  TX,$34.50
usaa,06/04,BONES 2 GO INC JERSEY VILLAG TX,$166.66
usaa,06/04,BONES 2 GO INC JERSEY VILLAG TX,$149.39
usaa,06/04,TIRELINK SPRING  TX,$100.00
usaa,06/04,Prime Video*MY7KO1GQ1888-802-3080 WA,$5.40
usaa,06/04,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,06/05,ARBYS #8642 RICHMOND  TX,$14.91
usaa,06/06,AMZN Mktp US*MY4WG8X10 Amzn.com/bill WA,$176.56
usaa,06/06,SWIFT FOOD MART HOUSTON  TX,$9.29
usaa,06/07,CHUY'S HOUSTON  TX,$69.13
usaa,06/07,AN FORD KATY KATY  TX,"$1,835.83"
usaa,06/08,ARBYS #8642 RICHMOND  TX,$8.87
usaa,06/08,Amazon Tips*MY3RP4HL0 Amzn.com/bill WA,$10.00
usaa,06/08,STARBUCKS STORE 25411 HOUSTON  TX,$3.84
usaa,06/10,CJC OFF ROAD424-241-3252 CA,$720.00
usaa,06/11,CVS/PHARMACY #07296 CROSBY  TX,$21.85
usaa,06/11,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.50
usaa,06/13,SQ *TRUTH BBQ BRENHAM  TX,$55.86
usaa,06/13,SQ *TORNADO TACO Houston  TX,$16.40
usaa,06/14,BASKIN #355682 HOUSTON  TX,$9.76
usaa,06/14,KROGER #346 HOUSTON  TX,$36.96
usaa,06/14,CHEVRON 0376218 SPRING  TX,$4.74
usaa,06/15,BRITTMOORE ANIMAL HOSPITA HOUSTON  TX,$26.40
usaa,06/15,MELLOW MUSHROOM #214 HOUSTON  TX,$35.05
usaa,06/15,TACO CABANA 20250 HOUSTON  TX,$8.64
usaa,06/15,SHELL OIL 57546402801 GROVES  TX,$30.81
usaa,06/15,SHELL OIL 57546402801 GROVES  TX,$3.68
usaa,06/15,STARBUCKS STORE 09614 HOUSTON  TX,$2.87
usaa,06/16,BONES 2 GO INC JERSEY VILLAG TX,$182.94
usaa,06/16,"LAST WISHES, LLC HOUSTON  TX",$149.70
usaa,06/17,SURFSIDE FOOD MART FREEPORT  TX,$4.30
usaa,06/17,SURFSIDE FOOD MART FREEPORT  TX,$12.59
usaa,06/17,STARBUCKS STORE 09374 HOUSTON  TX,$6.60
usaa,06/18,AMZN Mktp US*MS9L01ZP2 Amzn.com/bill WA,$268.68
usaa,06/18,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.50
usaa,06/19,SWIFT MART 2047 WIRT HOUSTON  TX,$28.73
usaa,06/20,Amazon Tips*MS6748541 Amzn.com/bill WA,$10.00
usaa,06/20,SQ *OL' RAILROAD CAFE Rosenberg  TX,$34.48
usaa,04/21 04/22,AMZN Mktp US*P45RJ3JF3 Amzn.com/bill WA,$9.32
usaa,04/21 04/22,Amazon.com*9P4SS9RX3 Amzn.com/bill WA,$28.85
usaa,04/22 04/22,APPLE.COM/BILL866-712-7753 CA,$1.07
usaa,04/22 04/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,04/25 04/25,BONES 2 GO INC JERSEY VILLAG TX,$169.95
usaa,04/26,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,04/29,BERNIES BURGER BAR - BELL BELLAIRE  TX,$102.28
usaa,04/29,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,04/29,APPLE.COM/BILL866-712-7753 CA,$1.07
usaa,05/01,THE C STORE HOUSTON  TX,$26.61
usaa,05/01,CVS/PHARMACY #07162 HOUSTON  TX,$9.81
usaa,05/01,LOS CUCOS MEXICAN CAFE - HOUSTON  TX,$79.05
usaa,05/01,BUSINESS FILINGS800-981-7183 WI,$199.00
usaa,05/01,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,05/01,SWIFT FOOD MART HOUSTON  TX,$38.47
usaa,05/05,BONES 2 GO INC JERSEY VILLAG TX,$75.14
usaa,05/07,WASHINGTON HEIGHTS VET HOUSTON  TX,"$1,299.89"
usaa,05/07,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,05/07,WFM Amazon*0H85405L3 Amzn.com/bill WA,$241.13
usaa,05/07,WFM Amazon*RY3WD5BU3 Amzn.com/bill WA,$38.15
usaa,05/08,APPLE.COM/BILL866-712-7753 CA,$1.07
usaa,05/09,Amazon Tips*XB16T2EK3 Amzn.com/bill WA,$10.00
usaa,05/09,Amazon Tips*5349060D3 Amzn.com/bill WA,$5.00
usaa,05/10,APPLE.COM/US800-676-2775 CA,$53.04
usaa,05/11,AMZN Mktp US*SL1B55LK3 Amzn.com/bill WA,$12.48
usaa,05/11,AMZN Mktp US*UR79J74J3 Amzn.com/bill WA,$113.77
usaa,05/11,SQ *CENTRAL CITY CO-OP gosq.com  TX,$56.95
usaa,05/12,AMZN Mktp US*MC5ZZ08H0 Amzn.com/bill WA,$14.06
usaa,05/13,AMZN Mktp US*MC1J14211 Amzn.com/bill WA,$10.07
usaa,05/13,"LAST WISHES, LLC HOUSTON  TX",$33.30
usaa,05/14,BONES 2 GO INC JERSEY VILLAG TX,$169.95
usaa,05/14,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,05/14,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,05/19,PAPPAS BBQ#665 HOUSTON  TX,$51.58
usaa,05/20,WASHINGTON HEIGHTS VET HOUSTON  TX,$26.44
usaa,05/21,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,02/21 02/21,"LAST WISHES, LLC HOUSTON  TX",$149.70
usaa,02/22 02/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,02/25 02/25,BUCHANANS NATIVE PLANTS HOUSTON  TX,$336.26
usaa,02/28 02/28,Scholz Beer Garten Austin  TX,$186.60
usaa,02/28 02/28,WHOLE EARTH PROVISION AUSTIN  TX,$57.36
usaa,02/28 02/28,TST* MAGNOLIA CAFE - WEST AUSTIN  TX,$65.17
usaa,02/28 02/28,TACODELI GRACY FARMS AUSTIN  TX,$95.89
usaa,02/28 02/28,APPLE STORE  #R216 AUSTIN  TX,$560.69
usaa,02/29,FRATELLI'S RISTORANTE HOUSTON  TX,$55.66
usaa,02/29,WHIP IN AUSTIN  TX,$67.07
usaa,02/29,SUNOCO 0548781400 BASTROP  TX,$9.41
usaa,02/29,SUNOCO 0548781400 BASTROP  TX,$52.07
usaa,03/01,RICHARDS GROCERY STORE HOUSTON  TX,$8.94
usaa,03/01,TST* FLORES MEXICAN RESTA AUSTIN  TX,$27.76
usaa,03/01,TST* SLOWPOKES - RICHMOND HOUSTON  TX,$13.12
usaa,03/01,FUZZYS PIZZA - HOUSTON TX HOUSTON  TX,$43.25
usaa,03/01,BARNABYS CAFE - MUSEUM HOUSTON  TX,$49.56
usaa,03/01,WFM Amazon*2C95Y0LJ3 Amzn.com/bill WA,$204.73
usaa,03/03,LA FITNESS949-255-7200 CA,$54.10
usaa,03/03,AMZNGrcyTip*O37EC6JL3 Amzn.com/bill WA,$10.00
usaa,03/05,WAV*CG LANDSCAPE281-5086957  TX,"$2,351.35"
usaa,03/06,SOUTHWEST AUTOMOTIVE HOUSTON  TX,$768.48
usaa,03/06,JOE MYERS FORD SERVICE HOUSTON  TX,$744.94
usaa,03/08,SQ *CENTRAL CITY CO-OP gosq.com  TX,$62.75
usaa,03/08,CORNELIUS NURSERY 301 HOUSTON  TX,$244.29
usaa,03/09,YELP-GRUBHUBFUZZYSPIZ SEAMLESS.COM  NY,$47.79
usaa,03/11,WAV*CG LANDSCAPE281-5086957  TX,"$2,432.26"
usaa,03/12,FRY'S ELECTRONICS#23 HOUSTON  TX,$262.07
usaa,03/14,BONES 2 GO INC JERSEY VILLAG TX,$128.82
usaa,03/16,THE HOME DEPOT #6985 HOUSTON  TX,$37.78
usaa,03/16,BUCHANANS NATIVE PLANTS HOUSTON  TX,$358.17
usaa,03/17,SQ *JM ENTERPRISES gosq.com  TX,$150.00
usaa,03/18,HILLCREST GARDEN OF254-5822581  TX,$914.25
usaa,03/18,SQ *JM ENTERPRISES gosq.com  TX,"$2,650.00"
usaa,03/19,WFM Amazon*Y81QX80B3 Amzn.com/bill WA,$235.70
usaa,03/21,AMZNGrcyTip*EQ3F16DU3 Amzn.com/bill WA,$10.00
usaa,03/22 03/23,SQ *CENTRAL CITY CO-OP gosq.com  TX,$136.75
usaa,03/22 03/23,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,03/24 03/24,WFM Amazon*0R9VZ9BL3 Amzn.com/bill WA,$146.24
usaa,03/25 03/25,BONES 2 GO INC281-701-3872 TX,$172.12
usaa,03/26 03/26,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,03/26 03/26,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,03/26,AMZNGrcyTip*E61MD92J3 Amzn.com/bill WA,$10.00
usaa,03/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,03/30,VCI*VITACOST.COM800-793-2601 FL,$195.43
usaa,03/31,WFM Amazon*KP2225SS3 Amzn.com/bill WA,$165.59
usaa,04/02,AMZNGrcyTip*6K9BQ0QF3 Amzn.com/bill WA,$10.00
usaa,04/04,PAYPAL *RUMMYSBEACH402-935-7733 TX,"$1,000.00"
usaa,04/04,AMZN Mktp US*HC8ZN9VF3 Amzn.com/bill WA,$31.55
usaa,04/05,WFM Amazon*J91SJ9IB3 Amzn.com/bill WA,$192.61
usaa,04/07,AMZNGrcyTip*WV7808WJ3 Amzn.com/bill WA,$10.00
usaa,04/07,AMZN Mktp US*8M0RS4LQ3 Amzn.com/bill WA,$71.39
usaa,04/09,APPLE.COM/BILL866-712-7753 CA,$32.46
usaa,04/10,"LAST WISHES, LLC HOUSTON  TX",$149.70
usaa,04/11,CVS/PHARMACY #06726 HOUSTON  TX,$94.27
usaa,04/14,PRELUDEMUSI8328037701TX,$50.00
usaa,04/14,Amazon.com*M580Z15C2 Amzn.com/bill WA,$61.00
usaa,04/17,APPLE.COM/BILL866-712-7753 CA,$3.22
usaa,04/18,WFM Amazon*7B3390FI3 Amzn.com/bill WA,$237.52
usaa,04/18,APPLE.COM/BILL866-712-7753 CA,$11.89
usaa,04/19,SQ *CENTRAL CITY CO-OP gosq.com  TX,$129.50
usaa,04/20,Discogs150-32587727 OR,$41.76
usaa,04/20,AMZNGrcyTip*Z98NN7OX3 Amzn.com/bill WA,$10.00
UFCU business,12/01,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080
13660 to Tim - 6500 already paid","$7,160.00"
UFCU business,12/02,"Internet Banking Transfer
TO HAYES , TIMOTHY C XXXXXXXXXX Share 0080
Invoice # 16 remainder","$1,423.21"
UFCU business,"12/03
12/02","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,12/03,"ACH GUSTO
TYPE : TAX 260815 ID : 9138864001
CO : GUSTO","$1,816.88"
UFCU business,12/03,"ACH GUSTO
TYPE : NET 260804 ID : 9138864001
CO : GUSTO","$3,702.89"
UFCU business,12/08,"Bill Payment # 034329637440
SLACK TMXS14E6M HTTPSSLACK.CO CA",$17.06
UFCU business,"12/10
12/10","Debit Card Check Card
DREAMHOST DH-FEE.COM CA",$6.99
UFCU business,12/17,"ACH GUSTO
TYPE : TAX 390112 ID : 9138864001
CO : GUSTO","$1,429.65"
UFCU business,12/17,"ACH GUSTO
TYPE : NET 390107 ID : 9138864001
CO : GUSTO","$3,104.83"
UFCU business,12/20,"Bill Payment # 035520717265
HARVEST 646-755-7737 NY",$12.99
UFCU business,12/30,"ACH GUSTO
TYPE : TAX 488548 ID : 9138864001
CO : GUSTO",$664.74
UFCU business,12/30,"ACH GUSTO
TYPE : NET 488526 ID : 9138864001","$1,918.86"
UFCU business,12/31,Debit Card Check Card,$42.00
UFCU business,"11/03
11/02","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,"11/07
11/06","Debit Card Check Card
PROTON * PROTONMAIL GENEVA CH",$267.59
UFCU business,11/07,"Debit Card Fee
VISA INTERNATIONAL SERVICE ASSESSMENT
Date 11/06/20",$2.68
UFCU business,11/08,"Bill Payment # 031325637543
SLACK TMXS14E6M HTTPSSLACK.CO CA",$17.06
UFCU business,11/08,"Bill Payment # 031327713343
HARVEST 646-755-7737 NY",$12.89
UFCU business,11/10,Bill Payment # 031425106749,$6.99
UFCU business,11/10,"DreamHost dh-fee.com 877-8294070 CA
Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$3,000.00"
UFCU business,11/13,"Internet Banking Transfer Invoice # 16
TO HAYES , TIMOTHY C XXXXXXXXXX Share 0080","$5,326.79"
UFCU business,"11/15
11/14","Debit Card Check Card
RAPID WEB SERVICES 727-328-7575 FL",$8.06
UFCU business,11/16,"ACH GUSTO
TYPE : BBV 124114 ID : 2453942850
CO : GUSTO",$0.31
UFCU business,11/16,"ACH GUSTO
TYPE : BBV 124115 ID : 9138864002
CO : GUSTO",$0.68
UFCU business,11/17,"ACH GUSTO
TYPE : BBV 129725 ID : 2453942850
CO : GUSTO",$0.42
UFCU business,11/17,"ACH GUSTO
TYPE : BBV 129726 ID : 9138864002
CO : GUSTO",$0.83
UFCU business,11/18,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$2,000.00"
UFCU business,11/18,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$1,000.00"
UFCU business,11/19,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080",$500.00
UFCU business,11/20,"Bill Payment # 032524745148
HARVEST 646-755-7737 NY",$12.99
UFCU business,"10/03
10/02","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,10/08,"Bill Payment # 028222637761
SLACK TMXS14E6M HTTPSSLACK.CO CA",$17.06
UFCU business,10/10,Bill Payment # 028326104520,$6.99
UFCU business,10/31,"DreamHost dh-fee.com 877-8294070 CA
Ending Balance",
UFCU business,"09/03
09/02","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,09/04,"Internet Banking Transfer invoice # 14
TO HAYES , TIMOTHY C XXXXXXXXXX Share 0080","$6,352.50"
UFCU business,09/08,"Bill Payment # 025222637149
SLACK TMXS14E6M SLACK.COM CA",$17.06
UFCU business,09/10,Bill Payment # 025325102245,$6.99
UFCU business,"09/17
09/17","DreamHost dh-fee.com 877-8294070 CA
Debit Card Check Card
MACSTADIUM 877-250-3497 GA",$34.00
UFCU business,09/20,"Bill Payment # 026420745123
HARVEST 646-755-7737 NY",$12.99
UFCU business,"09/25
09/25","Debit Card Check Card
HOVER 866-731-6556 MS",$16.17
UFCU business,09/26,Bill Payment # 027023100264,$19.00
UFCU business,09/30,"LOGMEIN * GoToMeeting logmein.com MA
Ending Balance",
UFCU business,"08/01
08/01","Debit Card Check Card
HOVER 866-731-6556 MS",$49.99
UFCU business,08/04,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$5,600.00"
UFCU business,"08/05
08/04","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,08/05,"ACH ALLY BANK
TYPE : $ TRANSFER ID : 3770527921
CO : ALLY BANK","$1,897.50"
UFCU business,08/08,"Bill Payment # 022120637516
SLACK TMXS14E6M SLACK.COM CA",$17.06
UFCU business,08/10,Bill Payment # 022226099998,$4.95
UFCU business,08/14,"Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$6,600.00"
UFCU business,08/17,"Bill Payment # 023021100283
XFINITY WIFI 866-489-0919 PA",$54.95
UFCU business,"08/18
08/18","Debit Card Check Card
MACSTADIUM 877-250-3497 GA",$34.00
UFCU business,08/20,"Bill Payment # 023323717158
HARVEST 646-755-7737 NY",$12.99
UFCU business,08/26,Bill Payment # 023925200156,$19.00
UFCU business,08/28,"ACH IRS
TYPE : USATAXPYMT ID : 3387702000 CO : IRS",$820.00
UFCU business,07/01,"Internet Banking Transfer invoice 12
TO HAYES , TIMOTHY C XXXXXXXXXX Share 0080","$3,815.00"
UFCU business,"07/03
07/02","Debit Card Check Card
LINODE.COM 855-4546633 NJ",$5.00
UFCU business,"07/03
07/02","Debit Card Check Card
BUSINESS FILINGS 800-981-7183 WI",$199.00
UFCU business,07/08,"Bill Payment # 019023637890
SLACK TMXS14E6M SLACK.COM CA",$17.06
UFCU business,07/10,Bill Payment # 019129097840,$4.95
UFCU business,07/10,"DreamHost dh-fee.com 877-8294070 CA
Internet Banking Transfer
TO SWEDBERG , RANDALL XXXXXXXXXX Share 0080","$5,700.00"
UFCU business,07/13,"ACH ALLY BANK
TYPE : $ TRANSFER ID : 3770527921
CO : ALLY BANK","$1,950.00"
UFCU business,"07/17
07/17","Debit Card Check Card
MACSTADIUM 877-250-3497 GA",$34.00
UFCU business,"07/20
07/19","Debit Card Check Card
HOVER 866-731-6556 MS",$15.17
UFCU business,07/20,"Bill Payment # 020227745331
HARVEST 646-755-7737 NY",$12.99
